sector_main,n_patents
Communication,635
Internet,541
Commerce de gros,4088
Distribution,4088
Services aux Entreprises,33
ESN,4014
Secteur informatique,4010
Assurance,31
Banque,31
Industrie Agro-alimentaire,314
Industrie high-tech,877
Telecom,756
Industrie Auto,10149
Meca,10149
Industrie Manufacturière,552
Environnement,3258
Secteur Energie,3258
Industrie Pétrolière,561
Pétrochimie,561
Service public des collectivités territoriales,35
BTP,121
BEP,371
CAP,371
Service public autres,327
Service public d'état,327
Logistique,185
Transport,185
Aérospatial,8332
Industrie Aéronautique,8332
Biotechn.,3423
Chimie,3423
