sector_main,avg_wage
ESN,50122.1542371983
Secteur informatique,50603.5207875393
Services aux Entreprises,48715.9190476191
Commerce de gros,84445.7073333333
Distribution,84445.7073333333
Assurance,42984
Banque,42984
Association,40000
BTP,52500
Environnement,52083.3333333334
Secteur Energie,51666.6666666667
Service public des collectivités territoriales,60000
Communication,40300
Internet,33000
BEP,91089.2857142857
CAP,91089.2857142857
Logistique,560065.777777778
Transport,560065.777777778
Industrie Manufacturière,2136
Aérospatial,48000
Particuliers,39500
Services aux Personnes,39500
Industrie high-tech,56500
